ID;Begintijd;Tijd van voltooien;E-mail;Naam;Tijd van laatste wijziging;Waar komt u vandaan?;Wat is uw leeftijd?;Hoe vaak reist u momenteel met verschillende vervoerswijzen (bv fiets naar station, vervolgens trein naar Amsterdam en tot slot OV-fiets naar bestemming) in één enkele reis?;Welke vervoersmiddelen heeft u zelf tot uw beschikking?;"Welke vervoerswijzen gebruikt u het meeste in het dagelijks leven? 

Selecteer op plaats 1 welk vervoerswijze u het vaakst gebruikt en op plek 10 welke u het minst vaak gebruikt. ";"Welke vorm van deelmobiliteit die u nog niet gebruikt, zou u het snelst overwegen?
";"Heeft u bij het plannen van uw reizen weleens gebruik gemaakt van een MaaS-applicatie? 

Een MaaS-applicatie verzamelt de verschillende transportmiddelen op één platform. Denk hierbij aan alle tra...";"Hoe vaak heeft u in het verleden van een MaaS-applicatie gebruik gemaakt?
";Via een MaaS-applicatie krijgt u direct inzicht hoe u het snelst op uw locatie kan komen doordat alle vervoersmiddelen in één applicatie gebundeld zijn om uw reis te plannen. U kan het zien als ee...;"Nog een voordeel van MaaS is dat alle kosten die u maakt aan reizen in kaart worden gebracht.
Heeft dit een toegevoegde waarde voor u om deze kosten in één overzicht te kunnen overzien? ";"Hoe tevreden bent u met de beschikbaarheid van de verschillende aangeboden vervoerwijzen binnen de gemeente Beverwijk?
";"Heeft u nog op- of aanmerking over deze enquete/ dit onderzoek?
"
1;11-23-23 13:42:59;11-23-23 13:56:36;anonymous;;;IJmond;50-64 jaar;Meerdere keren per week;"Auto;(Elektrische) fiets;";"Auto/ motor;Fiets;Bus;Lopen;Trein;Taxi;Deelfiets (Ov-fiets, etc...);Deelauto (Greenwheels, FreeNow, etc...);Deelscooter (Go-scooter, check-scooter);Scooter;";Deel-auto;Ja;Ik heb het een enkele keer gebruikt;8;Ja;2;
2;11-23-23 14:59:37;11-23-23 15:01:10;anonymous;;;Gemeente Beverwijk;35-49 jaar;Wekelijks;"Auto;(Elektrische) fiets;";"Auto/ motor;Lopen;Fiets;Trein;Bus;Scooter;Taxi;Deelfiets (Ov-fiets, etc...);Deelscooter (Go-scooter, check-scooter);Deelauto (Greenwheels, FreeNow, etc...);";Deel-scooter;Ja;Wekelijks;8;Ja;3;
3;11-23-23 15:00:43;11-23-23 15:02:52;anonymous;;;Gemeente Beverwijk;35-49 jaar;Nooit;"Auto;(Elektrische) fiets;";"Auto/ motor;Fiets;Lopen;Trein;Bus;Taxi;Scooter;Deelfiets (Ov-fiets, etc...);Deelauto (Greenwheels, FreeNow, etc...);Deelscooter (Go-scooter, check-scooter);";Deel-fiets;Ja;Ik heb het een enkele keer gebruikt;5;Ja;3;
4;11-23-23 14:59:20;11-23-23 15:04:04;anonymous;;;Gemeente Beverwijk;50-64 jaar;Maandelijks;"Auto;(Elektrische) fiets;";"Lopen;Auto/ motor;Bus;Trein;Taxi;Fiets;Scooter;Deelfiets (Ov-fiets, etc...);Deelauto (Greenwheels, FreeNow, etc...);Deelscooter (Go-scooter, check-scooter);";Deel-auto;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;2;Nee;4;Ik heb een NS Flex abo, daarmee heb ik (meestal) korting in de trein en betaal ik bus en trein via automatische incasso. Bevalt me prima! Taxi is zo incidenteel, daar heb ik niets anders voor nodig. 
5;11-23-23 15:14:02;11-23-23 15:15:45;anonymous;;;Gemeente Beverwijk;25-34 jaar;Maandelijks;"Auto;(Elektrische) fiets;Motor;";"Auto/ motor;Lopen;Fiets;Trein;Bus;Taxi;Deelfiets (Ov-fiets, etc...);Deelscooter (Go-scooter, check-scooter);Deelauto (Greenwheels, FreeNow, etc...);Scooter;";Deel-scooter;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;7;Ja;2;
6;11-23-23 15:15:58;11-23-23 15:18:17;anonymous;;;Gemeente Beverwijk;25-34 jaar;Zelden;"Auto;(Elektrische) fiets;";"Auto/ motor;Fiets;Lopen;Trein;Scooter;Taxi;Bus;Deelfiets (Ov-fiets, etc...);Deelauto (Greenwheels, FreeNow, etc...);Deelscooter (Go-scooter, check-scooter);";Deel-scooter;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;7;Ja;3;
7;11-23-23 15:15:26;11-23-23 15:18:23;anonymous;;;Gemeente Beverwijk;35-49 jaar;Meerdere keren per week;"(Elektrische) fiets;";"Trein;Fiets;Lopen;Bus;Deelauto (Greenwheels, FreeNow, etc...);Deelfiets (Ov-fiets, etc...);Taxi;Auto/ motor;Scooter;Deelscooter (Go-scooter, check-scooter);";Nvt;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;8;Ja;4;
8;11-23-23 15:19:35;11-23-23 15:21:43;anonymous;;;Gemeente Beverwijk;50-64 jaar;Nooit;"Auto;Scooter;(Elektrische) fiets;";"Auto/ motor;Lopen;Fiets;Scooter;Bus;Taxi;Trein;Deelscooter (Go-scooter, check-scooter);Deelfiets (Ov-fiets, etc...);Deelauto (Greenwheels, FreeNow, etc...);";Nvt;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;0;Nee;2;
9;11-23-23 15:45:04;11-23-23 15:47:01;anonymous;;;IJmond;50-64 jaar;Zelden;"Auto;(Elektrische) fiets;";"Auto/ motor;Lopen;Fiets;Trein;Scooter;Bus;Taxi;Deelfiets (Ov-fiets, etc...);Deelauto (Greenwheels, FreeNow, etc...);Deelscooter (Go-scooter, check-scooter);";Deel-fiets;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;5;Ja;3;
10;11-23-23 15:50:18;11-23-23 15:52:17;anonymous;;;Gemeente Beverwijk;50-64 jaar;Zelden;"Auto;";"Auto/ motor;Fiets;Scooter;Deelauto (Greenwheels, FreeNow, etc...);Trein;Lopen;Taxi;Deelfiets (Ov-fiets, etc...);Bus;Deelscooter (Go-scooter, check-scooter);";Nvt;Nee;Ik heb niet eerder gebruik gemaakt van een MaaS applicatie;0;Nee;3;
